field	value
acquisition_tool	ADI4.7.1.2
case_number	HB-2022-04-29
created_at	2026-07-22 19:35:50.190311
disk_guid	c93db56d-6e88-4965-94e5-8585a013d086
drive_model	Micron Crucial X6 SSD USB Device
drive_serial	2145E498755E
efi_partition_guid	54bcfba5-c609-44c0-a45d-b07090d2c996
fs_type	HFS+
hfs_partition_guid	cf0fd7cc-b0c0-4667-affd-d1627e93c654
hfs_sector_offset	409634
id	1
image_format	E01
image_md5	682619c1884e6fe006664ba31deed698
image_sha1	fe918f0cff3304ab52875b984c88fee78ec05197
image_size_bytes	500107862016
main_volume	vol_vol5
manifest_source	rank2-uuid-manifest.txt
notes	hb-reports-3 rank2 manifest from Todd Sanders (TSK 4.14.0)
reported_at	2022-04-29
sector_count	976773168
sector_size	512
source_image	HB-IMAGE-2022-04-29.E01
volume_identifier	dfe8079582e21400
volume_name	Untitled
