path	depth	parent_path	dir_count	file_count	size_bytes	hash_count	hash_pct	min_modified_ts	max_modified_ts
jpmi_metadata	0		4	576204	498875278049	331906	57.6	2014-01-16 22:25:46	2024-11-21 23:40:22
jpmi_metadata/Basic data partition (2)	1	jpmi_metadata	1	3435	282986807376	0	0.0	2019-09-27 01:59:02	2024-11-21 23:40:22
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]	2	jpmi_metadata/Basic data partition (2)	2	3435	282986807376	0	0.0	2019-09-27 01:59:02	2024-11-21 23:40:22
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled	3	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]	3	76	495660112	0	0.0	2019-09-27 01:59:02	2024-11-21 23:40:22
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/    HFS+ Private Data	4	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100	4	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled	2	6	197329	0	0.0	2022-04-11 22:34:02	2024-11-21 23:40:21
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/.cs	5	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100	0	2	118936	0	0.0	2024-11-21 23:40:21	2024-11-21 23:40:21
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/db-V1	5	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100	0	2	77856	0	0.0	2022-06-01 08:05:02	2024-11-21 23:40:21
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/purgatory	5	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/staging	5	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100	4	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled	2	62	453507107	0	0.0	2019-09-27 01:59:04	2024-11-21 23:40:22
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V1	5	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100	0	1	348	0	0.0	2019-09-27 01:59:04	2019-09-27 01:59:04
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2	5	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100	1	60	453502750	0	0.0	2022-04-11 22:34:01	2024-11-21 23:40:22
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	6	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2	1	60	453502750	0	0.0	2022-04-11 22:34:01	2024-11-21 23:40:22
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000	8	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	9	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0000	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0001	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0002	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0003	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0004	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0005	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0006	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0007	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000/0008	10	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/Cache/0000/0000	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.assisted_import_post	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.assisted_import_pre	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.corespotlight	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.health_check	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live_priority	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live_system	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.live_user	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.migration	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.migration_secondchance	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.repair	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/journals.scan	7	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA	0	1	0	0	0.0	2022-04-11 23:02:29	2022-04-11 23:02:29
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems	4	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems/folders.0	5	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems	0	0	0	0	0.0		
jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems/folders.0/TemporaryItems	6	jpmi_metadata/Basic data partition (2)/Untitled [HFS+]/Untitled/.TemporaryItems/folders.0	0	0	0	0	0.0		
