home_subdir	file_count	size_bytes	hash_count	hash_pct	min_modified_ts	max_modified_ts
.config	45	1123200	26	57.8	2018-10-30 01:59:50	2019-02-11 21:26:54
.mono	3	3	1	33.3	2018-11-01 01:59:07	2019-02-11 20:40:08
Applications	1	0	1	100.0	2018-11-19 14:19:10	2018-11-19 14:19:10
Desktop	4654	15064895203	2762	59.3	2016-06-24 01:21:46	2020-10-15 21:18:17
Documents	119794	23179794027	101165	84.4	2016-11-21 02:10:59	2020-10-15 21:20:53
Downloads	23415	19785523508	15809	67.5	2015-08-29 16:14:40	2019-03-18 00:50:08
F22DECB2-851A-461D-823E-77C90F10994E.pvt	2	5332790	2	100.0	2018-12-26 23:36:02	2018-12-26 23:36:02
Library	251863	54826170349	106497	42.3	2014-01-16 22:25:46	2020-01-01 00:04:30
Movies	61202	9421285218	48669	79.5	2017-01-25 09:54:13	2019-03-15 06:41:38
Music	19313	32235180492	0	0.0	2017-11-12 09:53:58	2019-03-18 04:03:15
Pictures	92393	61014334885	56935	61.6	2017-01-27 01:01:38	2019-05-10 16:15:53
Public	4	6148	3	75.0	2018-10-21 12:52:26	2020-10-15 21:18:42
Wondershare	6	29704	4	66.7	2018-12-13 06:45:14	2019-03-07 14:40:35
messages	22	7364328	22	100.0	2019-01-20 03:58:51	2019-02-24 18:30:06
voice memo : v mail	1	6148	1	100.0	2019-02-02 02:22:55	2019-02-02 02:22:55
