event_type	bucket	row_count	size_bytes
accessed	year-2019	8130	272861
accessed	year-2020	221	62952814
accessed	year-2022	564453	215875799353
accessed	year-2024	30	59144986
created	year-1984	1	0
created	year-2007	1	0
created	year-2012	16	294
created	year-2013	15	601
created	year-2014	32	44367
created	year-2015	353	398349
created	year-2016	3647	11165034504
created	year-2017	107817	25234086078
created	year-2018	107185	35744705620
created	year-2019	353677	143442140766
created	year-2020	14	202940
created	year-2022	82	453486929
created	year-2024	7	16702
modified	year-2014	12	31967
modified	year-2015	317	398957
modified	year-2016	2101	83373713
modified	year-2017	106873	25141759597
modified	year-2018	102657	33366588816
modified	year-2019	360756	156994116272
modified	year-2020	18	135200
modified	year-2022	82	416701169
modified	year-2024	30	37011459
accessed	month-2019-09	8130	272861
accessed	month-2020-10	221	62952814
accessed	month-2022-03	532375	215434205563
accessed	month-2022-04	31942	218169059
accessed	month-2022-06	136	223424731
accessed	month-2024-11	30	59144986
created	month-2019-01	55462	34072223035
created	month-2019-02	241603	96218046851
created	month-2019-03	56597	13109894799
created	month-2019-09	15	41976081
created	month-2020-10	14	202940
created	month-2022-04	77	453486582
created	month-2022-06	5	347
created	month-2024-11	7	16702
modified	month-2019-01	55509	34004513396
modified	month-2019-02	240955	106819697896
modified	month-2019-03	64281	16127924712
modified	month-2019-05	2	16392
modified	month-2019-09	9	41963876
modified	month-2020-01	4	40968
modified	month-2020-10	14	94232
modified	month-2022-03	12	8196
modified	month-2022-04	45	388863097
modified	month-2022-06	25	27829876
modified	month-2024-11	30	37011459
