extension	file_count	size_bytes	hash_count
[none]	122989	32594085281	61562
.vcf	64649	25643540	64534
.vcf-slack	64647	0	0
.jpg	51373	7748189901	51356
.jpg-slack	51282	0	0
.jpeg	23970	2353767281	23967
.jpeg-slack	23969	0	0
.emlx	15487	696536741	15487
.emlx-slack	15484	0	0
.JPG	14202	15549913450	14202
.JPG-slack	14201	0	0
.plist	14187	39529699	14037
.plist-slack	14038	0	0
.png	13857	1627471123	13494
.png-slack	13486	0	0
.abcdp	12115	19720791	12115
.abcdp-slack	12115	0	0
.fppl-slack	11511	0	0
.fppl	11511	8292379	11510
.icloud	10374	1918627	10374
.icloud-slack	10374	0	0
.ics-slack	7413	0	0
.ics	7413	12797029	7413
.txt	5459	173370571	5349
.txt-slack	5435	0	0
.PNG	5169	2774142371	5169
.PNG-slack	5169	0	0
.ichat	2973	471730106	2973
.ichat-slack	2973	0	0
.csv	2350	359367456	2350
.csv-slack	2349	0	0
.amr-slack	1343	0	0
.amr	1343	42790036	1343
.ithmb	1037	300244892	1037
.ithmb-slack	1037	0	0
.PhotosCacheFile	988	295375090	988
.PhotosCacheFile-slack	988	0	0
.pdf	969	1184570405	969
.pdf-slack	968	0	0
.HEIC	802	550651429	802
.HEIC-slack	802	0	0
.strings	720	11173896	720
.strings-slack	720	0	0
.nib	654	9798288	654
.nib-slack	654	0	0
.MOV	636	777933093	636
.MOV-slack	636	0	0
.json	616	85338102	615
.json-slack	615	0	0
.mov-slack	370	0	0
.mov	370	82139834486	370
.xml	335	85469009	309
.xml-slack	309	0	0
.db	271	575917333	269
.data	251	897174843	251
.dll	241	199027712	241
.log	237	108835996	231
.iconpack-slack	232	0	0
.iconpack	232	29097776	232
.gif-slack	228	0	0
.html	228	84108731	228
.html-slack	228	0	0
.gif	228	105492412	228
.pcapng	224	3536416	212
.db-wal	217	92400376	217
.dylib	213	253225312	213
.db-shm	213	7110656	213
.data-slack	213	0	0
.dylib-slack	212	0	0
.pcapng-slack	212	0	0
.shieldpack	206	11833249	206
.shieldindex-slack	206	0	0
.shieldindex	206	230787	206
.shieldpack-slack	206	0	0
.log-slack	201	0	0
.dll-slack	200	0	0
.numbers	177	185462221	177
.numbers-slack	176	0	0
.CFUserTextEncoding	175	5401	175
.CFUserTextEncoding-slack	175	0	0
.zip-slack	162	0	0
.zip	162	5299147033	162
.MP4	160	8847400	160
.MP4-slack	160	0	0
.DS_Store	144	1065532	143
.DS_Store-slack	144	0	0
.im4p	141	5267816	24
.js	125	5529297	125
.js-slack	125	0	0
.dat	118	97568165	118
.dat-slack	117	0	0
.notes-slack	115	0	0
.notes	115	75900	115
.calldump	96	410488	96
.mp4-slack	94	0	0
.mp4	94	334952949	94
.calldump-slack	90	0	0
.db-wal-slack	88	0	0
.sk	83	30738432	83
.sth	82	20598	82
.sth-slack	82	0	0
.cdt-slack	81	0	0
.cdt	81	44169	81
.svg-slack	74	0	0
.svg	74	307165	74
.ttf-slack	65	0	0
.ttf	65	46892068	65
.icns-slack	60	0	0
.tiff	60	119192448	60
.tiff-slack	60	0	0
.icns	60	9541399	60
.pluginPayloadAttachment	59	9300547	59
.pluginPayloadAttachment-slack	59	0	0
.old	56	25431	56
.old-slack	56	0	0
.webp-slack	55	0	0
.webp	55	61502558	55
.dmg	54	1002173035	39
.mbn	53	0	0
.icsalarm	52	12299	52
.icsalarm-slack	52	0	0
.m4p-slack	50	0	0
.m4p	50	429008719	50
.m4a	49	251754230	49
.m4a-slack	49	0	0
.0	49	13480063	12
.lisj-slack	47	0	0
.lisj	47	337830087	47
.mailsignature	45	58631	45
.cshelpindex-slack	45	0	0
.mailsignature-slack	45	0	0
.cshelpindex	45	2439602	45
.css-slack	40	0	0
.localstorage	40	479232	40
.sqlite3	40	4026368	40
.css	40	881744	40
.localstorage-wal	39	8945224	39
.dmg-slack	39	0	0
.localstorage-shm	39	1277952	39
.sqlite3-wal	38	8116752	38
.sqlite3-shm	38	1245184	38
.sk-slack	37	0	0
.lij	34	101004710	34
.docx-slack	34	0	0
.lij-slack	34	0	0
.pages	34	38523686	34
.docx	34	1662841	34
.pages-slack	32	0	0
.sqlite	29	54865920	28
.gz	28	2544955	26
.iwa	27	0	0
.gz-slack	26	0	0
.im4p-slack	24	0	0
.sfl2	23	342619	23
.sfl2-slack	23	0	0
.usage	22	528	22
.ldb-slack	22	0	0
.localstorage-wal-slack	22	0	0
.usage-slack	22	0	0
.ldb	22	15118710	22
.lockfile	21	0	21
.bin	21	5977	5
.woff	20	902156	20
.der	20	0	0
.woff-slack	20	0	0
.sqlite-wal	20	32832760	19
.sqlite-shm	19	622592	19
.rtf-slack	19	0	0
.rtf	19	3720967	19
.binarycookies	18	108183	18
.diag	18	845060	18
.xlsx-slack	18	0	0
.diag-slack	18	0	0
.xlsx	18	273294	18
.binarycookies-slack	18	0	0
.crash	17	1386647	17
.closed	17	677026	17
.closed-slack	17	0	0
.crash-slack	17	0	0
.amr (fcp1)-slack	16	0	0
.sqlite-wal-slack	16	0	0
.amr (fcp1)	16	724344	16
.elf	15	0	0
.bz2	15	120064	14
.config-slack	15	0	0
.config	15	555535	15
.theater-slack	15	0	0
.theater	15	22665	15
.localized	15	0	15
.fw	14	0	0
.bz2-slack	14	0	0
.store	14	11424500	14
.store-slack	13	0	0
.indexDirectory	12	286812	10
.shadowIndexGroups	12	42350	10
.shadowIndexGroups-slack	12	0	0
.shadowIndexHead	12	40960	10
.0-slack	12	0	0
.indexArrays	12	15858432	10
.indexBigDates	12	199524	10
.indexCompactDirectory	12	1657982	10
.indexCompactDirectory-slack	12	0	0
.indexDirectory-slack	12	0	0
.indexGroups	12	56854	10
.indexHead	12	40960	10
.indexIds	12	399048	10
.indexPositions	12	51220628	10
.indexPostings	12	13880648	10
.doc	12	980480	12
.bmp	11	496632	11
.sh	11	828	11
.bmp-slack	11	0	0
.woff2	11	517588	11
.woff2-slack	11	0	0
.doc-slack	11	0	0
.sqlite3-wal-slack	11	0	0
.sh-slack	11	0	0
.fingerprint	10	660	10
.py	10	71943	10
.otf-slack	10	0	0
.genericshieldstyles	10	33378	10
.otf	10	570516	10
.genericshieldstyles-slack	10	0	0
.enc-slack	10	0	0
.abcdg	10	759240	10
.abcdg-slack	10	0	0
.indexUpdates	10	87	9
.styl-slack	10	0	0
.py-slack	10	0	0
.enc	10	2045694	10
.styl	10	477581	10
.fingerprint-slack	10	0	0
.indexBigDates-slack	9	0	0
.exe-slack	9	0	0
.0132b2147001162d3d0f68e7413658d8f080c47af9-slack	9	0	0
.exe	9	460800	9
.indexIds-slack	9	0	0
.indexArrays-slack	9	0	0
.mapping	9	5914624	9
.db-journal	9	0	9
.sqlitedb	9	35028992	9
.shadow	9	6528	6
.0132b2147001162d3d0f68e7413658d8f080c47af9	9	477	9
.db-slack	8	0	0
.apk-slack	8	0	0
.info	8	203901	8
.directoryStoreFile	8	393216	6
.mapping-slack	8	0	0
.apk	8	55304198	8
.imovieevent	8	233324544	8
.collection-slack	7	0	0
.eml	7	4285715	7
.syncdb	7	25116672	7
.abcddb-wal	7	7329608	7
.01898ede8c7c77ae97aa85ce46b3ae1bafa2b5952c	7	1701	7
.abcddb-shm	7	229376	7
.abcddb	7	32583680	7
.01898ede8c7c77ae97aa85ce46b3ae1bafa2b5952c-slack	7	0	0
