object	size_bytes	modified_ts	note
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/		2022-03-31 16:48:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/    HFS+ Private Data/			
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DS_Store	8196	2022-03-31 17:47:13	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/		2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/.cs/		2020-10-15 21:19:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/.cs/ChunkStoreDatabase	98304	2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/.cs/ChunkStoreDatabase-wal	20632	2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/LibraryStatus	234	2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/db-V1/		2020-10-15 21:19:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/db-V1/db.sqlite	77824	2022-06-01 08:05:02	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/db-V1/db.sqlite-wal	32	2024-11-21 23:40:21	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/metadata	303	2022-04-11 22:34:02	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/purgatory/		2020-10-15 21:19:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.DocumentRevisions-V100/staging/		2020-10-15 21:19:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.HFS+ Private Directory Data			
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/		2019-09-27 01:59:04	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V1/		2019-09-27 01:59:04	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V1/VolumeConfig.plist	348	2019-09-27 01:59:04	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/		2022-04-11 22:35:32	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/		2024-11-21 23:40:22	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/.store.db	20516864	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.directoryStoreFile	2097152	2024-11-21 23:40:20	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.directoryStoreFile.shadow	1310720	2022-04-11 23:02:43	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.indexArrays	109908608	2022-04-11 23:02:42	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.indexBigDates	1453176	2022-04-11 23:02:31	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.indexCompactDirectory	17896374	2022-04-11 23:02:42	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.indexDirectory	3483892	2022-04-11 23:02:42	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.indexGroups	419431	2022-04-11 23:02:29	
JPMI://Basic data partition (2)/Untitled [HFS+]/Untitled/.Spotlight-V100/Store-V2/3DEE7E1E-F78C-4768-B492-D2485F7ADCBA/0.indexHead	4096	2022-06-01 03:39:43	
